"","STID","STNM","TIME","TAIR","RELH","PRES"
"1153","ERIC",35,2015-06-26 00:00:00,25.4,68,944.74
"1154","ERIC",35,2015-06-26 00:05:00,25.3,68,944.75
"1155","ERIC",35,2015-06-26 00:10:00,25.1,69,944.72
"1156","ERIC",35,2015-06-26 00:15:00,25.1,69,944.63
"1157","ERIC",35,2015-06-26 00:20:00,25.1,69,944.52
"1158","ERIC",35,2015-06-26 00:25:00,25,70,944.47
"1159","ERIC",35,2015-06-26 00:30:00,24.9,70,944.4
"1160","ERIC",35,2015-06-26 00:35:00,24.9,70,944.38
"1161","ERIC",35,2015-06-26 00:40:00,24.9,71,944.43
"1162","ERIC",35,2015-06-26 00:45:00,24.6,71,944.47
"1163","ERIC",35,2015-06-26 00:50:00,24.6,72,944.52
"1164","ERIC",35,2015-06-26 00:55:00,24.4,73,944.58
"1165","ERIC",35,2015-06-26 01:00:00,24.3,73,944.58
"1166","ERIC",35,2015-06-26 01:05:00,24.2,74,944.58
"1167","ERIC",35,2015-06-26 01:10:00,24.2,74,944.58
"1168","ERIC",35,2015-06-26 01:15:00,24.2,74,944.54
"1169","ERIC",35,2015-06-26 01:20:00,24.1,74,944.51
"1170","ERIC",35,2015-06-26 01:25:00,24,75,944.44
"1171","ERIC",35,2015-06-26 01:30:00,24,75,944.37
"1172","ERIC",35,2015-06-26 01:35:00,24,75,944.24
"1173","ERIC",35,2015-06-26 01:40:00,24,75,944.13
"1174","ERIC",35,2015-06-26 01:45:00,24,75,944.15
"1175","ERIC",35,2015-06-26 01:50:00,24,75,944.18
"1176","ERIC",35,2015-06-26 01:55:00,24,75,944.15
"1177","ERIC",35,2015-06-26 02:00:00,23.8,75,944.21
"1178","ERIC",35,2015-06-26 02:05:00,23.9,75,944.29
"1179","ERIC",35,2015-06-26 02:10:00,23.8,76,944.29
"1180","ERIC",35,2015-06-26 02:15:00,23.6,76,944.28
"1181","ERIC",35,2015-06-26 02:20:00,23.5,77,944.17
"1182","ERIC",35,2015-06-26 02:25:00,23.3,78,944.2
"1183","ERIC",35,2015-06-26 02:30:00,23.2,78,944.29
"1184","ERIC",35,2015-06-26 02:35:00,23,79,944.27
"1185","ERIC",35,2015-06-26 02:40:00,22.9,80,944.23
"1186","ERIC",35,2015-06-26 02:45:00,22.8,80,944.18
"1187","ERIC",35,2015-06-26 02:50:00,22.8,80,944.14
"1188","ERIC",35,2015-06-26 02:55:00,22.9,80,944.14
"1189","ERIC",35,2015-06-26 03:00:00,22.8,80,944.1
"1190","ERIC",35,2015-06-26 03:05:00,22.9,80,944.04
"1191","ERIC",35,2015-06-26 03:10:00,23.1,79,943.99
"1192","ERIC",35,2015-06-26 03:15:00,23.1,79,943.96
"1193","ERIC",35,2015-06-26 03:20:00,23.1,79,943.99
"1194","ERIC",35,2015-06-26 03:25:00,23.1,79,944.03
"1195","ERIC",35,2015-06-26 03:30:00,23.1,79,944.06
"1196","ERIC",35,2015-06-26 03:35:00,23.1,79,944.09
"1197","ERIC",35,2015-06-26 03:40:00,23.1,79,944.15
