"","STID","STNM","TIME","TAIR","RELH","PRES"
"865","ERIC",35,2015-06-25 00:00:00,24.3,72,948.11
"866","ERIC",35,2015-06-25 00:05:00,24.3,72,948.11
"867","ERIC",35,2015-06-25 00:10:00,24.4,72,948.11
"868","ERIC",35,2015-06-25 00:15:00,24.4,72,948.11
"869","ERIC",35,2015-06-25 00:20:00,24.4,72,948.11
"870","ERIC",35,2015-06-25 00:25:00,24.5,72,948.07
"871","ERIC",35,2015-06-25 00:30:00,24.4,72,948.06
"872","ERIC",35,2015-06-25 00:35:00,24.4,72,948.08
"873","ERIC",35,2015-06-25 00:40:00,24.5,72,948.1
"874","ERIC",35,2015-06-25 00:45:00,24.5,72,948.09
"875","ERIC",35,2015-06-25 00:50:00,24.7,71,948.06
"876","ERIC",35,2015-06-25 00:55:00,24.7,71,947.99
"877","ERIC",35,2015-06-25 01:00:00,24.5,71,947.97
"878","ERIC",35,2015-06-25 01:05:00,24.4,72,948
"879","ERIC",35,2015-06-25 01:10:00,24.5,72,947.98
"880","ERIC",35,2015-06-25 01:15:00,24.6,72,948.02
"881","ERIC",35,2015-06-25 01:20:00,24.5,72,948
"882","ERIC",35,2015-06-25 01:25:00,24.4,73,947.95
"883","ERIC",35,2015-06-25 01:30:00,24.3,73,947.91
"884","ERIC",35,2015-06-25 01:35:00,24.1,74,947.9
"885","ERIC",35,2015-06-25 01:40:00,24.2,74,947.86
"886","ERIC",35,2015-06-25 01:45:00,24.1,74,947.83
"887","ERIC",35,2015-06-25 01:50:00,24.1,74,947.85
"888","ERIC",35,2015-06-25 01:55:00,24.1,74,947.8
"889","ERIC",35,2015-06-25 02:00:00,24,75,947.78
"890","ERIC",35,2015-06-25 02:05:00,23.9,75,947.79
"891","ERIC",35,2015-06-25 02:10:00,24.1,75,947.8
"892","ERIC",35,2015-06-25 02:15:00,24.2,74,947.81
"893","ERIC",35,2015-06-25 02:20:00,24.2,74,947.79
"894","ERIC",35,2015-06-25 02:25:00,24.2,74,947.85
"895","ERIC",35,2015-06-25 02:30:00,24.2,74,947.87
"896","ERIC",35,2015-06-25 02:35:00,24.1,74,947.86
"897","ERIC",35,2015-06-25 02:40:00,24.1,74,947.87
"898","ERIC",35,2015-06-25 02:45:00,24,74,947.84
"899","ERIC",35,2015-06-25 02:50:00,24,75,947.85
"900","ERIC",35,2015-06-25 02:55:00,23.9,75,947.86
"901","ERIC",35,2015-06-25 03:00:00,23.8,76,947.86
"902","ERIC",35,2015-06-25 03:05:00,23.7,76,947.86
"903","ERIC",35,2015-06-25 03:10:00,23.6,77,947.84
"904","ERIC",35,2015-06-25 03:15:00,23.5,77,947.77
"905","ERIC",35,2015-06-25 03:20:00,23.3,78,947.66
"906","ERIC",35,2015-06-25 03:25:00,23.1,79,947.6
"907","ERIC",35,2015-06-25 03:30:00,23,80,947.57
"908","ERIC",35,2015-06-25 03:35:00,22.9,80,947.55
"909","ERIC",35,2015-06-25 03:40:00,22.8,81,947.66
"910","ERIC",35,2015-06-25 03:45:00,22.5,82,947.72
"911","ERIC",35,2015-06-25 03:50:00,22.3,83,947.69
"912","ERIC",35,2015-06-25 03:55:00,22,84,947.69
"913","ERIC",35,2015-06-25 04:00:00,22,85,947.69
"914","ERIC",35,2015-06-25 04:05:00,22,85,947.65
"915","ERIC",35,2015-06-25 04:10:00,21.9,85,947.68
"916","ERIC",35,2015-06-25 04:15:00,21.9,86,947.68
"917","ERIC",35,2015-06-25 04:20:00,21.7,86,947.64
"918","ERIC",35,2015-06-25 04:25:00,21.4,87,947.67
"919","ERIC",35,2015-06-25 04:30:00,21.2,88,947.7
"920","ERIC",35,2015-06-25 04:35:00,21.2,89,947.65
"921","ERIC",35,2015-06-25 04:40:00,21.3,89,947.59
"922","ERIC",35,2015-06-25 04:45:00,21.6,88,947.55
"923","ERIC",35,2015-06-25 04:50:00,21.8,87,947.53
"924","ERIC",35,2015-06-25 04:55:00,21.9,86,947.47
"925","ERIC",35,2015-06-25 05:00:00,21.8,86,947.4
"926","ERIC",35,2015-06-25 05:05:00,21.8,86,947.39
"927","ERIC",35,2015-06-25 05:10:00,21.8,86,947.38
"928","ERIC",35,2015-06-25 05:15:00,21.9,86,947.39
"929","ERIC",35,2015-06-25 05:20:00,21.8,86,947.33
"930","ERIC",35,2015-06-25 05:25:00,21.8,86,947.34
"931","ERIC",35,2015-06-25 05:30:00,21.8,86,947.39
"932","ERIC",35,2015-06-25 05:35:00,21.8,86,947.42
"933","ERIC",35,2015-06-25 05:40:00,21.8,86,947.41
"934","ERIC",35,2015-06-25 05:45:00,21.7,86,947.46
"935","ERIC",35,2015-06-25 05:50:00,21.6,86,947.52
"936","ERIC",35,2015-06-25 05:55:00,21.6,86,947.6
"937","ERIC",35,2015-06-25 06:00:00,21.5,87,947.62
"938","ERIC",35,2015-06-25 06:05:00,21.4,87,947.64
"939","ERIC",35,2015-06-25 06:10:00,21.2,88,947.67
"940","ERIC",35,2015-06-25 06:15:00,21.1,88,947.69
"941","ERIC",35,2015-06-25 06:20:00,21,89,947.76
"942","ERIC",35,2015-06-25 06:25:00,20.9,89,947.77
"943","ERIC",35,2015-06-25 06:30:00,20.8,90,947.84
"944","ERIC",35,2015-06-25 06:35:00,20.5,90,947.89
"945","ERIC",35,2015-06-25 06:40:00,20.3,91,947.91
"946","ERIC",35,2015-06-25 06:45:00,20.3,92,947.97
"947","ERIC",35,2015-06-25 06:50:00,20.4,92,947.94
"948","ERIC",35,2015-06-25 06:55:00,20.4,92,947.95
"949","ERIC",35,2015-06-25 07:00:00,20.5,91,947.97
"950","ERIC",35,2015-06-25 07:05:00,20.6,91,947.99
"951","ERIC",35,2015-06-25 07:10:00,20.8,90,947.98
"952","ERIC",35,2015-06-25 07:15:00,21,89,947.95
"953","ERIC",35,2015-06-25 07:20:00,21.3,88,947.94
"954","ERIC",35,2015-06-25 07:25:00,21.5,87,947.94
"955","ERIC",35,2015-06-25 07:30:00,21.8,86,947.96
"956","ERIC",35,2015-06-25 07:35:00,22.1,85,948.06
"957","ERIC",35,2015-06-25 07:40:00,22.6,82,948.09
"958","ERIC",35,2015-06-25 07:45:00,22.9,80,948.06
"959","ERIC",35,2015-06-25 07:50:00,23.1,78,948.04
"960","ERIC",35,2015-06-25 07:55:00,23.3,77,948.05
"961","ERIC",35,2015-06-25 08:00:00,23.6,76,948.06
"962","ERIC",35,2015-06-25 08:05:00,23.8,74,948.11
"963","ERIC",35,2015-06-25 08:10:00,24.1,73,948.2
