"","STID","STNM","TIME","TAIR","RELH","PRES"
"1","ERIC",35,2015-06-22 00:00:00,25.1,75,944.87
"2","ERIC",35,2015-06-22 00:05:00,25.1,75,944.97
"3","ERIC",35,2015-06-22 00:10:00,25.1,76,945.06
"4","ERIC",35,2015-06-22 00:15:00,25.1,76,945.17
"5","ERIC",35,2015-06-22 00:20:00,24.9,77,945.2
"6","ERIC",35,2015-06-22 00:25:00,24.6,78,945.2
"7","ERIC",35,2015-06-22 00:30:00,24.5,79,945.17
"8","ERIC",35,2015-06-22 00:35:00,24.4,80,945.12
"9","ERIC",35,2015-06-22 00:40:00,24.3,81,945.09
"10","ERIC",35,2015-06-22 00:45:00,24.1,82,945.08
"11","ERIC",35,2015-06-22 00:50:00,24.1,82,945.04
"12","ERIC",35,2015-06-22 00:55:00,24,83,945.01
"13","ERIC",35,2015-06-22 01:00:00,23.9,84,945.04
"14","ERIC",35,2015-06-22 01:05:00,23.8,84,944.99
"15","ERIC",35,2015-06-22 01:10:00,23.7,85,944.99
"16","ERIC",35,2015-06-22 01:15:00,23.7,85,944.96
"17","ERIC",35,2015-06-22 01:20:00,23.7,85,944.93
"18","ERIC",35,2015-06-22 01:25:00,23.7,86,944.88
"19","ERIC",35,2015-06-22 01:30:00,23.7,86,944.81
"20","ERIC",35,2015-06-22 01:35:00,23.6,86,944.76
"21","ERIC",35,2015-06-22 01:40:00,23.7,86,944.76
"22","ERIC",35,2015-06-22 01:45:00,23.7,86,944.78
"23","ERIC",35,2015-06-22 01:50:00,23.7,86,944.76
"24","ERIC",35,2015-06-22 01:55:00,23.7,86,944.72
"25","ERIC",35,2015-06-22 02:00:00,23.7,86,944.68
"26","ERIC",35,2015-06-22 02:05:00,23.8,86,944.65
"27","ERIC",35,2015-06-22 02:10:00,23.8,86,944.65
"28","ERIC",35,2015-06-22 02:15:00,23.8,85,944.63
"29","ERIC",35,2015-06-22 02:20:00,23.9,85,944.6
"30","ERIC",35,2015-06-22 02:25:00,23.8,84,944.61
"31","ERIC",35,2015-06-22 02:30:00,23.8,84,944.58
"32","ERIC",35,2015-06-22 02:35:00,23.7,84,944.62
"33","ERIC",35,2015-06-22 02:40:00,23.7,84,944.59
"34","ERIC",35,2015-06-22 02:45:00,23.7,84,944.58
"35","ERIC",35,2015-06-22 02:50:00,23.6,84,944.57
"36","ERIC",35,2015-06-22 02:55:00,23.5,84,944.57
"37","ERIC",35,2015-06-22 03:00:00,23.5,84,944.56
"38","ERIC",35,2015-06-22 03:05:00,23.4,84,944.56
"39","ERIC",35,2015-06-22 03:10:00,23.3,85,944.48
"40","ERIC",35,2015-06-22 03:15:00,23.2,85,944.51
"41","ERIC",35,2015-06-22 03:20:00,23.1,85,944.52
"42","ERIC",35,2015-06-22 03:25:00,23.2,85,944.5
"43","ERIC",35,2015-06-22 03:30:00,23.2,85,944.53
"44","ERIC",35,2015-06-22 03:35:00,23.1,85,944.55
"45","ERIC",35,2015-06-22 03:40:00,23,85,944.58
"46","ERIC",35,2015-06-22 03:45:00,22.9,86,944.59
"47","ERIC",35,2015-06-22 03:50:00,22.8,86,944.57
"48","ERIC",35,2015-06-22 03:55:00,22.8,86,944.51
"49","ERIC",35,2015-06-22 04:00:00,22.7,87,944.48
"50","ERIC",35,2015-06-22 04:05:00,22.6,87,944.48
"51","ERIC",35,2015-06-22 04:10:00,22.6,87,944.48
"52","ERIC",35,2015-06-22 04:15:00,22.4,88,944.48
"53","ERIC",35,2015-06-22 04:20:00,22.5,88,944.51
"54","ERIC",35,2015-06-22 04:25:00,22.4,88,944.56
"55","ERIC",35,2015-06-22 04:30:00,22.3,88,944.61
"56","ERIC",35,2015-06-22 04:35:00,22.2,89,944.61
"57","ERIC",35,2015-06-22 04:40:00,22,89,944.62
"58","ERIC",35,2015-06-22 04:45:00,21.8,90,944.63
"59","ERIC",35,2015-06-22 04:50:00,21.8,91,944.59
"60","ERIC",35,2015-06-22 04:55:00,21.8,91,944.59
"61","ERIC",35,2015-06-22 05:00:00,21.8,91,944.62
"62","ERIC",35,2015-06-22 05:05:00,21.6,91,944.66
"63","ERIC",35,2015-06-22 05:10:00,21.6,92,944.74
"64","ERIC",35,2015-06-22 05:15:00,21.4,92,944.76
