"","STID","STNM","TIME","TAIR","RELH","PRES"
"289","ERIC",35,2015-06-23 00:00:00,24.3,68,947.71
"290","ERIC",35,2015-06-23 00:05:00,24.3,68,947.67
"291","ERIC",35,2015-06-23 00:10:00,24.1,68,947.66
"292","ERIC",35,2015-06-23 00:15:00,23.9,69,947.67
"293","ERIC",35,2015-06-23 00:20:00,23.4,71,947.69
"294","ERIC",35,2015-06-23 00:25:00,23.2,72,947.7
"295","ERIC",35,2015-06-23 00:30:00,22.9,74,947.69
"296","ERIC",35,2015-06-23 00:35:00,22.1,77,947.68
"297","ERIC",35,2015-06-23 00:40:00,22,78,947.72
"298","ERIC",35,2015-06-23 00:45:00,21.8,80,947.68
"299","ERIC",35,2015-06-23 00:50:00,21.7,80,947.57
"300","ERIC",35,2015-06-23 00:55:00,21.6,81,947.53
"301","ERIC",35,2015-06-23 01:00:00,21.6,81,947.58
"302","ERIC",35,2015-06-23 01:05:00,21.3,82,947.6
"303","ERIC",35,2015-06-23 01:10:00,21.1,83,947.62
"304","ERIC",35,2015-06-23 01:15:00,21.1,83,947.62
"305","ERIC",35,2015-06-23 01:20:00,21.1,83,947.63
"306","ERIC",35,2015-06-23 01:25:00,20.9,84,947.67
"307","ERIC",35,2015-06-23 01:30:00,20.9,84,947.68
"308","ERIC",35,2015-06-23 01:35:00,21.6,82,947.65
"309","ERIC",35,2015-06-23 01:40:00,21.2,81,947.76
"310","ERIC",35,2015-06-23 01:45:00,20.8,83,947.85
"311","ERIC",35,2015-06-23 01:50:00,20.6,84,947.89
"312","ERIC",35,2015-06-23 01:55:00,20.7,85,947.93
"313","ERIC",35,2015-06-23 02:00:00,20.6,85,947.97
"314","ERIC",35,2015-06-23 02:05:00,20.4,86,948.03
"315","ERIC",35,2015-06-23 02:10:00,20.6,86,948.04
"316","ERIC",35,2015-06-23 02:15:00,20.8,84,948.08
"317","ERIC",35,2015-06-23 02:20:00,20.9,84,948.1
"318","ERIC",35,2015-06-23 02:25:00,21.1,83,948.06
"319","ERIC",35,2015-06-23 02:30:00,20.9,83,948.08
"320","ERIC",35,2015-06-23 02:35:00,20.9,84,948.11
"321","ERIC",35,2015-06-23 02:40:00,21.4,82,948.16
"322","ERIC",35,2015-06-23 02:45:00,21.1,82,948.17
"323","ERIC",35,2015-06-23 02:50:00,20.6,84,948.21
"324","ERIC",35,2015-06-23 02:55:00,20.3,86,948.19
"325","ERIC",35,2015-06-23 03:00:00,20.2,87,948.15
"326","ERIC",35,2015-06-23 03:05:00,20.3,87,948.14
"327","ERIC",35,2015-06-23 03:10:00,20.6,86,948.09
"328","ERIC",35,2015-06-23 03:15:00,20.7,85,948.08
"329","ERIC",35,2015-06-23 03:20:00,20.7,84,948.16
"330","ERIC",35,2015-06-23 03:25:00,20.7,84,948.21
"331","ERIC",35,2015-06-23 03:30:00,20.8,84,948.24
"332","ERIC",35,2015-06-23 03:35:00,20.7,84,948.22
"333","ERIC",35,2015-06-23 03:40:00,20.7,84,948.18
"334","ERIC",35,2015-06-23 03:45:00,20.7,84,948.16
"335","ERIC",35,2015-06-23 03:50:00,20.7,84,948.15
"336","ERIC",35,2015-06-23 03:55:00,20.7,84,948.18
"337","ERIC",35,2015-06-23 04:00:00,20.7,84,948.23
"338","ERIC",35,2015-06-23 04:05:00,20.5,84,948.29
"339","ERIC",35,2015-06-23 04:10:00,20.6,84,948.31
"340","ERIC",35,2015-06-23 04:15:00,20.6,84,948.29
"341","ERIC",35,2015-06-23 04:20:00,20.6,84,948.3
"342","ERIC",35,2015-06-23 04:25:00,20.4,85,948.37
"343","ERIC",35,2015-06-23 04:30:00,20.4,85,948.38
"344","ERIC",35,2015-06-23 04:35:00,20.3,86,948.41
"345","ERIC",35,2015-06-23 04:40:00,20,86,948.46
"346","ERIC",35,2015-06-23 04:45:00,19.9,87,948.49
"347","ERIC",35,2015-06-23 04:50:00,19.8,88,948.6
"348","ERIC",35,2015-06-23 04:55:00,19.8,88,948.67
"349","ERIC",35,2015-06-23 05:00:00,19.7,88,948.73
"350","ERIC",35,2015-06-23 05:05:00,19.6,88,948.74
"351","ERIC",35,2015-06-23 05:10:00,19.6,89,948.77
"352","ERIC",35,2015-06-23 05:15:00,19.5,89,948.81
"353","ERIC",35,2015-06-23 05:20:00,19.3,89,948.85
"354","ERIC",35,2015-06-23 05:25:00,19.4,89,948.87
"355","ERIC",35,2015-06-23 05:30:00,19.4,89,948.94
"356","ERIC",35,2015-06-23 05:35:00,19.4,89,949.03
"357","ERIC",35,2015-06-23 05:40:00,19.2,89,949.12
"358","ERIC",35,2015-06-23 05:45:00,19.1,90,949.16
"359","ERIC",35,2015-06-23 05:50:00,18.9,90,949.23
"360","ERIC",35,2015-06-23 05:55:00,18.9,91,949.31
"361","ERIC",35,2015-06-23 06:00:00,19,90,949.36
"362","ERIC",35,2015-06-23 06:05:00,18.9,90,949.44
"363","ERIC",35,2015-06-23 06:10:00,18.8,91,949.48
"364","ERIC",35,2015-06-23 06:15:00,18.9,91,949.51
"365","ERIC",35,2015-06-23 06:20:00,19,90,949.53
"366","ERIC",35,2015-06-23 06:25:00,19.1,89,949.52
"367","ERIC",35,2015-06-23 06:30:00,19,89,949.54
"368","ERIC",35,2015-06-23 06:35:00,19,89,949.56
"369","ERIC",35,2015-06-23 06:40:00,19,89,949.61
"370","ERIC",35,2015-06-23 06:45:00,19.1,89,949.69
"371","ERIC",35,2015-06-23 06:50:00,19.2,88,949.79
"372","ERIC",35,2015-06-23 06:55:00,19.2,88,949.85
"373","ERIC",35,2015-06-23 07:00:00,19.3,88,949.9
"374","ERIC",35,2015-06-23 07:05:00,19.5,88,950.01
"375","ERIC",35,2015-06-23 07:10:00,19.6,87,950.17
"376","ERIC",35,2015-06-23 07:15:00,19.6,87,950.21
"377","ERIC",35,2015-06-23 07:20:00,19.7,87,950.24
"378","ERIC",35,2015-06-23 07:25:00,19.8,87,950.28
"379","ERIC",35,2015-06-23 07:30:00,20,87,950.36
"380","ERIC",35,2015-06-23 07:35:00,20.2,86,950.44
"381","ERIC",35,2015-06-23 07:40:00,20.4,85,950.52
"382","ERIC",35,2015-06-23 07:45:00,20.5,85,950.62
"383","ERIC",35,2015-06-23 07:50:00,20.7,84,950.65
"384","ERIC",35,2015-06-23 07:55:00,21,84,950.75
"385","ERIC",35,2015-06-23 08:00:00,21.3,83,950.8
"386","ERIC",35,2015-06-23 08:05:00,21.5,82,950.77
"387","ERIC",35,2015-06-23 08:10:00,21.9,81,950.74
"388","ERIC",35,2015-06-23 08:15:00,22.3,78,950.73
"389","ERIC",35,2015-06-23 08:20:00,22.5,76,950.8
"390","ERIC",35,2015-06-23 08:25:00,22.8,75,950.87
"391","ERIC",35,2015-06-23 08:30:00,23.1,74,950.95
"392","ERIC",35,2015-06-23 08:35:00,23.4,71,951
"393","ERIC",35,2015-06-23 08:40:00,23.6,70,950.98
"394","ERIC",35,2015-06-23 08:45:00,23.8,68,950.96
"395","ERIC",35,2015-06-23 08:50:00,24,67,950.96
"396","ERIC",35,2015-06-23 08:55:00,24.1,66,950.92
"397","ERIC",35,2015-06-23 09:00:00,24.3,65,950.89
