"","STID","STNM","TIME","TAIR","RELH","PRES"
"289","ERIC",35,2019-06-23 00:00:00,28.3,65,938.37
"290","ERIC",35,2019-06-23 00:05:00,28.4,65,938.45
"291","ERIC",35,2019-06-23 00:10:00,28.2,66,938.5
"292","ERIC",35,2019-06-23 00:15:00,28.6,65,938.44
"293","ERIC",35,2019-06-23 00:20:00,28.6,65,938.39
"294","ERIC",35,2019-06-23 00:25:00,28.4,65,938.41
"295","ERIC",35,2019-06-23 00:30:00,28.2,66,938.39
"296","ERIC",35,2019-06-23 00:35:00,28,66,938.39
"297","ERIC",35,2019-06-23 00:40:00,27.9,67,938.34
"298","ERIC",35,2019-06-23 00:45:00,27.8,67,938.27
"299","ERIC",35,2019-06-23 00:50:00,27.8,67,938.25
"300","ERIC",35,2019-06-23 00:55:00,27.7,67,938.27
"301","ERIC",35,2019-06-23 01:00:00,27.6,68,938.2
"302","ERIC",35,2019-06-23 01:05:00,27.6,67,938.15
"303","ERIC",35,2019-06-23 01:10:00,27.5,68,938.2
"304","ERIC",35,2019-06-23 01:15:00,27.4,68,938.23
"305","ERIC",35,2019-06-23 01:20:00,27.2,69,938.34
"306","ERIC",35,2019-06-23 01:25:00,27,70,938.34
"307","ERIC",35,2019-06-23 01:30:00,26.8,70,938.34
"308","ERIC",35,2019-06-23 01:35:00,26.7,71,938.36
"309","ERIC",35,2019-06-23 01:40:00,26.5,72,938.49
"310","ERIC",35,2019-06-23 01:45:00,26.4,72,938.52
"311","ERIC",35,2019-06-23 01:50:00,26.2,73,938.54
"312","ERIC",35,2019-06-23 01:55:00,26,74,938.59
"313","ERIC",35,2019-06-23 02:00:00,25.9,75,938.62
"314","ERIC",35,2019-06-23 02:05:00,25.9,75,938.72
"315","ERIC",35,2019-06-23 02:10:00,25.8,76,938.75
"316","ERIC",35,2019-06-23 02:15:00,25.7,77,938.69
"317","ERIC",35,2019-06-23 02:20:00,25.6,77,938.74
"318","ERIC",35,2019-06-23 02:25:00,25.6,77,938.76
"319","ERIC",35,2019-06-23 02:30:00,25.5,78,938.76
"320","ERIC",35,2019-06-23 02:35:00,25.4,79,938.75
"321","ERIC",35,2019-06-23 02:40:00,25.3,80,938.71
"322","ERIC",35,2019-06-23 02:45:00,25.4,80,938.85
